clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20201118,XDCE,J,J2103,20201117,21:03,5,0,2310.5,0,2310.0,82,18952550,2311.29,大商所,2020
20201118,XDCE,L,L2102,20201117,21:01,5,0,7680.0,0,7670.0,64,2455975,7674.92,大商所,2020
20201118,XDCE,P,P2104,20201117,21:01,5,0,6562.0,0,6560.0,6,394140,6569.0,大商所,2020
20201118,XDCE,PG,PG2103,20201117,21:01,5,0,3407.0,0,3387.0,9,610920,3394.0,大商所,2020
20201118,XDCE,PP,PP2102,20201117,21:01,5,0,8217.0,0,8206.0,50,2052180,8208.72,大商所,2020
20201118,XDCE,PP,PP2103,20201117,21:01,5,0,8138.0,0,8138.0,3,121980,8132.0,大商所,2020
20201118,XDCE,Y,Y2107,20201117,21:01,5,0,7274.0,0,7270.0,89,6470760,7270.52,大商所,2020
20201118,XDCE,Y,Y2108,20201117,21:01,5,0,7184.0,0,7184.0,7,503240,7189.14,大商所,2020
20201119,XDCE,B,B2107,20201118,22:01,5,0,3775.0,0,3775.0,1,37750,3775.0,大商所,2020
20201119,XDCE,CS,CS2103,20201118,21:01,5,0,2929.0,0,2920.0,46,1345050,2924.02,大商所,2020
20201119,XDCE,EG,EG2102,20201118,21:01,5,0,3796.0,0,3792.0,64,2428710,3794.86,大商所,2020
20201119,XDCE,EG,EG2103,20201118,21:01,5,0,3818.0,0,3818.0,3,114620,3820.67,大商所,2020
20201119,XDCE,I,I2104,20201118,21:01,5,0,804.5,0,802.0,10,802750,802.75,大商所,2020
20201119,XDCE,I,I2107,20201118,22:08,5,0,770.0,0,768.5,8,615250,769.062,大商所,2020
20201119,XDCE,J,J2103,20201118,21:03,5,0,2292.0,0,2292.0,5,1144300,2288.6,大商所,2020
20201119,XDCE,JM,JM2103,20201118,21:01,5,0,1301.5,0,1301.5,32,2496600,1300.31,大商所,2020
20201119,XDCE,JM,JM2104,20201118,21:05,5,0,1305.0,0,1304.5,28,2191920,1304.71,大商所,2020
20201119,XDCE,PP,PP2103,20201118,21:01,5,0,8311.0,0,8302.0,98,4067800,8301.63,大商所,2020
20201119,XDCE,Y,Y2108,20201118,21:01,5,0,7276.0,0,7276.0,18,1309340,7274.11,大商所,2020
20201120,XDCE,EB,EB2103,20201119,21:01,5,0,6675.0,0,6660.0,25,833665,6669.32,大商所,2020
20201120,XDCE,EB,EB2104,20201119,21:01,5,0,6666.0,0,6665.0,26,866025,6661.73,大商所,2020
20201120,XDCE,EG,EG2102,20201119,21:01,5,0,3829.0,0,3824.0,20,765340,3826.7,大商所,2020
20201120,XDCE,EG,EG2103,20201119,21:02,5,0,3859.0,0,3859.0,8,308680,3858.5,大商所,2020
20201120,XDCE,I,I2107,20201120,14:10,5,0,768.5,0,768.5,2,153700,768.5,大商所,2020
20201120,XDCE,JM,JM2102,20201119,21:01,5,0,1301.5,0,1301.5,118,9198630,1299.24,大商所,2020
20201120,XDCE,JM,JM2103,20201119,21:04,5,0,1297.0,0,1296.5,64,4978590,1296.51,大商所,2020
20201120,XDCE,L,L2102,20201119,21:01,5,0,7810.0,0,7810.0,23,898150,7810.0,大商所,2020
20201120,XDCE,P,P2103,20201119,21:01,5,0,6788.0,0,6762.0,38,2576360,6779.9,大商所,2020
20201120,XDCE,PP,PP2103,20201119,21:02,5,0,8361.0,0,8361.0,5,209020,8360.8,大商所,2020
20201120,XDCE,Y,Y2108,20201119,21:02,5,0,7272.0,0,7268.0,11,799780,7270.73,大商所,2020
20201123,XDCE,CS,CS2103,20201120,21:01,5,0,2936.0,0,2934.0,211,6185410,2931.47,大商所,2020
20201123,XDCE,EG,EG2104,20201120,21:13,5,0,3905.0,0,3905.0,12,468600,3905.0,大商所,2020
20201123,XDCE,L,L2103,20201120,21:03,5,0,7645.0,0,7645.0,16,611600,7645.0,大商所,2020
20201123,XDCE,L,L2104,20201120,21:02,5,0,7635.0,0,7635.0,1,38175,7635.0,大商所,2020
20201123,XDCE,P,P2103,20201120,21:02,5,0,6616.0,0,6608.0,26,1718720,6610.46,大商所,2020
20201123,XDCE,P,P2104,20201120,21:01,5,0,6514.0,0,6514.0,8,521120,6514.0,大商所,2020
20201123,XDCE,P,P2107,20201120,21:09,5,0,6338.0,0,6338.0,1,63380,6338.0,大商所,2020
20201123,XDCE,PP,PP2102,20201120,21:01,5,0,8411.0,0,8404.0,28,1176670,8404.79,大商所,2020
20201123,XDCE,Y,Y2108,20201120,21:01,5,0,7302.0,0,7302.0,11,802540,7295.82,大商所,2020
20201124,XDCE,EB,EB2103,20201123,21:01,5,0,6881.0,0,6879.0,37,1274670,6890.11,大商所,2020
20201124,XDCE,EB,EB2104,20201123,21:01,5,0,6866.0,0,6843.0,42,1439795,6856.17,大商所,2020
20201124,XDCE,EG,EG2102,20201123,21:01,5,0,3891.0,0,3884.0,151,5869000,3886.76,大商所,2020
20201124,XDCE,RR,RR2102,20201123,21:01,5,0,3596.0,0,3596.0,26,934750,3595.19,大商所,2020
20201124,XDCE,V,V2104,20201123,21:02,5,0,6980.0,0,6980.0,4,139525,6976.25,大商所,2020
